,a,o,e,d,h,n,p,t
a,1,0.5,0.5,0.1,0.1,0.1,0.1,0.1
o,0.5,1,0.5,0.1,0.1,0.1,0.1,0.1
e,0.5,0.5,1,0.1,0.1,0.1,0.1,0.1
d,0.1,0.1,0.1,1,0.4,0.3,0.3,0.9
h,0.1,0.1,0.1,0.4,1,0.3,0.3,0.3
n,0.1,0.1,0.1,0.3,0.3,1,0.3,0.3
p,0.1,0.1,0.1,0.3,0.3,0.3,1,0.3
t,0.1,0.1,0.1,0.9,0.3,0.3,0.3,1
